OrphaCode,DisorderName,DisorderType,HPOTerm0,HPOFrequency0,HPOTerm1,HPOFrequency1,HPOTerm2,HPOFrequency2,HPOTerm3,HPOFrequency3,HPOTerm4,HPOFrequency4,HPOTerm5,HPOFrequency5,HPOTerm6,HPOFrequency6,HPOTerm7,HPOFrequency7,HPOTerm8,HPOFrequency8,HPOTerm9,HPOFrequency9,HPOTerm10,HPOFrequency10,HPOTerm11,HPOFrequency11
261243,16p13.11 microduplication syndrome,Malformation syndrome,Dolichocephaly,Occasional (29-5%),Autism,Occasional (29-5%),Aggressive behavior,Occasional (29-5%),Pectus excavatum,Occasional (29-5%),Hand polydactyly,Frequent (79-30%),Arachnodactyly,Occasional (29-5%),Intellectual disability,Frequent (79-30%),Global developmental delay,Frequent (79-30%),Craniosynostosis,Occasional (29-5%),Ventricular septal defect,Occasional (29-5%),Atrial septal defect,Occasional (29-5%),Tetralogy of Fallot,Occasional (29-5%)
261250,16q24.3 microdeletion syndrome,Malformation syndrome,High forehead,Very frequent (99-80%),Protruding ear,Very frequent (99-80%),Autism,Very frequent (99-80%),Wide mouth,Frequent (79-30%),High palate,Frequent (79-30%),Pointed chin,Frequent (79-30%),Smooth philtrum,Frequent (79-30%),Long philtrum,Frequent (79-30%),Micrognathia,Frequent (79-30%),Optic nerve hypoplasia,Frequent (79-30%),Seizures,Frequent (79-30%),Frontal bossing,Frequent (79-30%)
261265,17q12 microdeletion syndrome,Malformation syndrome,Multicystic kidney dysplasia,Very frequent (99-80%),Cryptorchidism,Occasional (29-5%),Shawl scrotum,Occasional (29-5%),Ureterocele,Occasional (29-5%),Renal insufficiency,Occasional (29-5%),Large fontanelles,Occasional (29-5%),Hearing impairment,Occasional (29-5%),Autism,Occasional (29-5%),Diabetes mellitus,Frequent (79-30%),Intellectual disability,Occasional (29-5%),Seizures,Occasional (29-5%),Global developmental delay,Occasional (29-5%)
261272,17q12 microduplication syndrome,Malformation syndrome,Cleft palate,Occasional (29-5%),Deeply set eye,Occasional (29-5%),Glaucoma,Occasional (29-5%),Microphthalmia,Occasional (29-5%),Synophrys,Occasional (29-5%),Delayed speech and language development,Occasional (29-5%),Intellectual disability,Occasional (29-5%),Seizures,Occasional (29-5%),Polyhydramnios,Occasional (29-5%),Atrial septal defect,Occasional (29-5%),Toe syndactyly,Occasional (29-5%),Language impairment,Occasional (29-5%)
261279,17q23.1q23.2 microdeletion syndrome,Malformation syndrome,Shawl scrotum,Occasional (29-5%),Narrow mouth,Occasional (29-5%),Microcephaly,Frequent (79-30%),Malar flattening,Occasional (29-5%),Epicanthus,Occasional (29-5%),Hypertelorism,Occasional (29-5%),Hearing impairment,Occasional (29-5%),Chronic otitis media,Occasional (29-5%),Protruding ear,Occasional (29-5%),Bulbous nose,Occasional (29-5%),Strabismus,Occasional (29-5%),Blepharitis,Occasional (29-5%)
261290,Trisomy 17p,Malformation syndrome,Polycystic kidney dysplasia,Frequent (79-30%),Hydronephrosis,Frequent (79-30%),Wide mouth,Occasional (29-5%),Macroglossia,Occasional (29-5%),Narrow mouth,Frequent (79-30%),Cleft palate,Occasional (29-5%),Oral cleft,Occasional (29-5%),High palate,Frequent (79-30%),Hydrocephalus,Occasional (29-5%),Microcephaly,Very frequent (99-80%),Malar flattening,Frequent (79-30%),Coarse facial features,Occasional (29-5%)
261102,Distal 7q11.23 microduplication syndrome,Malformation syndrome,Cryptorchidism,Frequent (79-30%),Hydrocephalus,Occasional (29-5%),Autistic behavior,Frequent (79-30%),Anxiety,Frequent (79-30%),Delayed speech and language development,Very frequent (99-80%),Congenital diaphragmatic hernia,Frequent (79-30%),Muscular hypotonia,Frequent (79-30%),"Intellectual disability, mild",Very frequent (99-80%),Patent ductus arteriosus,Occasional (29-5%),Aortic dilatation,Very frequent (99-80%),Arnold-Chiari malformation,Occasional (29-5%),Attention deficit hyperactivity disorder,Frequent (79-30%)
254509,Iatrogenic botulism,Clinical subtype,Urinary retention,Frequent (79-30%),Xerostomia,Very frequent (99-80%),Ptosis,Very frequent (99-80%),Orthostatic hypotension,Very frequent (99-80%),Muscle weakness,Very frequent (99-80%),Dysphagia,Very frequent (99-80%),Constipation,Frequent (79-30%),Dyspnea,Frequent (79-30%),Diaphragmatic paralysis,Very frequent (99-80%),Cranial nerve paralysis,Very frequent (99-80%),Mydriasis,Very frequent (99-80%),Fatigue,Very frequent (99-80%)
261120,14q11.2 microdeletion syndrome,Malformation syndrome,Narrow mouth,Frequent (79-30%),High palate,Frequent (79-30%),Everted lower lip vermilion,Very frequent (99-80%),Epicanthus,Frequent (79-30%),Hypertelorism,Very frequent (99-80%),Broad forehead,Frequent (79-30%),Sloping forehead,Frequent (79-30%),Long philtrum,Very frequent (99-80%),Micrognathia,Frequent (79-30%),"Low-set, posteriorly rotated ears",Very frequent (99-80%),Deeply set eye,Frequent (79-30%),Blepharophimosis,Frequent (79-30%)
261112,Monosomy 9p,Malformation syndrome,Cryptorchidism,Frequent (79-30%),Hypospadias,Frequent (79-30%),Ambiguous genitalia,Frequent (79-30%),Ureteropelvic junction obstruction,Occasional (29-5%),Narrow mouth,Frequent (79-30%),Abnormality of the dentition,Frequent (79-30%),Cleft palate,Occasional (29-5%),High palate,Very frequent (99-80%),Trigonocephaly,Very frequent (99-80%),Brachycephaly,Very frequent (99-80%),Microcephaly,Frequent (79-30%),Malar flattening,Very frequent (99-80%)
261190,15q14 microdeletion syndrome,Malformation syndrome,Inguinal hernia,Occasional (29-5%),Abnormality of the dentition,Occasional (29-5%),Cleft palate,Very frequent (99-80%),Microcephaly,Frequent (79-30%),Long face,Occasional (29-5%),Pointed chin,Frequent (79-30%),Smooth philtrum,Frequent (79-30%),Short philtrum,Frequent (79-30%),Narrow forehead,Frequent (79-30%),Long philtrum,Occasional (29-5%),Low-set ears,Occasional (29-5%),Prominent nasal bridge,Occasional (29-5%)
261144,14q12 microdeletion syndrome,Malformation syndrome,Macroglossia,Frequent (79-30%),Everted lower lip vermilion,Very frequent (99-80%),Microcephaly,Very frequent (99-80%),Epicanthus,Very frequent (99-80%),Mandibular prognathia,Frequent (79-30%),Smooth philtrum,Frequent (79-30%),Protruding ear,Very frequent (99-80%),Bulbous nose,Very frequent (99-80%),Downslanted palpebral fissures,Frequent (79-30%),Blepharophimosis,Frequent (79-30%),Stereotypy,Very frequent (99-80%),Seizures,Frequent (79-30%)
261204,16p11.2p12.2 microduplication syndrome,Malformation syndrome,Hypospadias,Occasional (29-5%),Cleft palate,Occasional (29-5%),Microcephaly,Very frequent (99-80%),Myopia,Occasional (29-5%),Psychosis,Occasional (29-5%),Autism,Occasional (29-5%),Pectus excavatum,Occasional (29-5%),Intellectual disability,Occasional (29-5%),Seizures,Occasional (29-5%),Global developmental delay,Occasional (29-5%),Dystonia,Occasional (29-5%),Language impairment,Occasional (29-5%)
261197,Proximal 16p11.2 microdeletion syndrome,Malformation syndrome,Cleft palate,Occasional (29-5%),Macrocephaly,Frequent (79-30%),Malar flattening,Frequent (79-30%),Hypertelorism,Occasional (29-5%),Broad forehead,Frequent (79-30%),Strabismus,Occasional (29-5%),Anophthalmia,Occasional (29-5%),Myopia,Occasional (29-5%),Microphthalmia,Occasional (29-5%),Optic nerve coloboma,Occasional (29-5%),Psychosis,Occasional (29-5%),Autism,Frequent (79-30%)
251066,8p11.2 deletion syndrome,Malformation syndrome,Azoospermia,Frequent (79-30%),Cryptorchidism,Very frequent (99-80%),Hypogonadotrophic hypogonadism,Very frequent (99-80%),Hypogonadism,Very frequent (99-80%),High palate,Frequent (79-30%),Microcephaly,Frequent (79-30%),Epicanthus,Occasional (29-5%),Hypertelorism,Occasional (29-5%),Micrognathia,Very frequent (99-80%),Anosmia,Occasional (29-5%),Microcornea,Occasional (29-5%),Retinal dystrophy,Occasional (29-5%)
251056,6q25 microdeletion syndrome,Malformation syndrome,Cleft palate,Occasional (29-5%),High palate,Frequent (79-30%),Microcephaly,Very frequent (99-80%),Malar flattening,Frequent (79-30%),Epicanthus,Frequent (79-30%),Hypertelorism,Frequent (79-30%),Long philtrum,Occasional (29-5%),Micrognathia,Occasional (29-5%),"Low-set, posteriorly rotated ears",Frequent (79-30%),Abnormality of the pinna,Frequent (79-30%),Sensorineural hearing impairment,Very frequent (99-80%),Wide nasal bridge,Frequent (79-30%)
251076,8p23.1 duplication syndrome,Malformation syndrome,Hydronephrosis,Occasional (29-5%),Hypertelorism,Occasional (29-5%),Long philtrum,Occasional (29-5%),Hearing impairment,Occasional (29-5%),Wide nose,Occasional (29-5%),Deeply set eye,Occasional (29-5%),Adrenal insufficiency,Occasional (29-5%),Intellectual disability,Frequent (79-30%),Global developmental delay,Frequent (79-30%),Ventricular septal defect,Occasional (29-5%),Tetralogy of Fallot,Occasional (29-5%),Pulmonic stenosis,Occasional (29-5%)
251071,8p23.1 microdeletion syndrome,Malformation syndrome,Cryptorchidism,Frequent (79-30%),Hypospadias,Frequent (79-30%),High palate,Frequent (79-30%),Thin vermilion border,Occasional (29-5%),Microcephaly,Frequent (79-30%),Epicanthus,Frequent (79-30%),Full cheeks,Occasional (29-5%),Micrognathia,Frequent (79-30%),High forehead,Frequent (79-30%),Low-set ears,Frequent (79-30%),Prominent nasal bridge,Occasional (29-5%),Wide nasal bridge,Frequent (79-30%)
254346,19p13.12 microdeletion syndrome,Malformation syndrome,Cryptorchidism,Occasional (29-5%),Hypospadias,Occasional (29-5%),Cleft palate,Occasional (29-5%),Thin vermilion border,Frequent (79-30%),Brachycephaly,Frequent (79-30%),Microcephaly,Frequent (79-30%),Epicanthus,Frequent (79-30%),Hypertelorism,Occasional (29-5%),Broad forehead,Frequent (79-30%),Long philtrum,Occasional (29-5%),Low-set ears,Frequent (79-30%),Conductive hearing impairment,Occasional (29-5%)
251510,"46,XY partial gonadal dysgenesis",Malformation syndrome,Azoospermia,Very frequent (99-80%),Abnormality of the scrotum,Very frequent (99-80%),Hypospadias,Very frequent (99-80%),Micropenis,Very frequent (99-80%),Clitoromegaly,Very frequent (99-80%),Abnormality of the labia,Very frequent (99-80%),Ambiguous genitalia,Very frequent (99-80%),Gonadal dysgenesis,Very frequent (99-80%),Abnormality of the vagina,Very frequent (99-80%),Gynecomastia,Very frequent (99-80%),Primary amenorrhea,Very frequent (99-80%),Abnormal internal genitalia,Very frequent (99-80%)
254504,Inhalational botulism,Clinical subtype,Urinary retention,Very frequent (99-80%),Xerostomia,Very frequent (99-80%),Ptosis,Very frequent (99-80%),Diplopia,Very frequent (99-80%),Muscle weakness,Very frequent (99-80%),Diarrhea,Frequent (79-30%),Nausea and vomiting,Frequent (79-30%),Constipation,Very frequent (99-80%),Dyspnea,Frequent (79-30%),Paralysis,Very frequent (99-80%),Cranial nerve paralysis,Very frequent (99-80%),Mydriasis,Very frequent (99-80%)
254351,Distal 7q11.23 microdeletion syndrome,Malformation syndrome,Microcephaly,Occasional (29-5%),Autism,Occasional (29-5%),Aggressive behavior,Occasional (29-5%),Intellectual disability,Frequent (79-30%),Seizures,Frequent (79-30%),Specific learning disability,Frequent (79-30%),Atrial septal defect,Occasional (29-5%),Patent ductus arteriosus,Occasional (29-5%),Porencephaly,Occasional (29-5%),Arnold-Chiari malformation,Occasional (29-5%),Attention deficit hyperactivity disorder,Occasional (29-5%),Bipolar affective disorder,Occasional (29-5%)
319218,Ebola hemorrhagic fever,Disease,Renal insufficiency,Occasional (29-5%),Proteinuria,Occasional (29-5%),Gingival bleeding,Occasional (29-5%),Epistaxis,Occasional (29-5%),Skin rash,Occasional (29-5%),Seizures,Occasional (29-5%),Lethargy,Occasional (29-5%),Coma,Occasional (29-5%),Cardiac arrest,Frequent (79-30%),Thrombocytopenia,Occasional (29-5%),Leukopenia,Frequent (79-30%),Abnormal bleeding,Occasional (29-5%)
319251,Rift valley fever,Disease,Retinopathy,Occasional (29-5%),Visual loss,Occasional (29-5%),Scotoma,Occasional (29-5%),Photophobia,Frequent (79-30%),Abnormal retinal artery morphology,Occasional (29-5%),Hallucinations,Frequent (79-30%),Jaundice,Occasional (29-5%),Bruising susceptibility,Occasional (29-5%),Purpura,Occasional (29-5%),Seizures,Occasional (29-5%),Lethargy,Occasional (29-5%),Coma,Occasional (29-5%)
324964,Chronic nonbacterial osteomyelitis/Chronic recurrent multifocal osteomyelitis,Disease,Abnormality of the metaphysis,Frequent (79-30%),Edema,Frequent (79-30%),Skin rash,Occasional (29-5%),Pruritus,Occasional (29-5%),Acne,Occasional (29-5%),Arthritis,Frequent (79-30%),Weight loss,Frequent (79-30%),Anemia,Occasional (29-5%),Fever,Occasional (29-5%),Inflammation of the large intestine,Occasional (29-5%),Vasculitis,Occasional (29-5%),Scoliosis,Occasional (29-5%)
289916,Vitamin B12-unresponsive methylmalonic acidemia type mut0,Clinical subtype,Renal insufficiency,Occasional (29-5%),Renal tubular dysfunction,Occasional (29-5%),Optic atrophy,Occasional (29-5%),Intellectual disability,Frequent (79-30%),Lethargy,Very frequent (99-80%),Coma,Very frequent (99-80%),Global developmental delay,Frequent (79-30%),Muscular hypotonia,Frequent (79-30%),Choreoathetosis,Occasional (29-5%),Dystonia,Occasional (29-5%),Growth delay,Very frequent (99-80%),Pancreatitis,Occasional (29-5%)
319213,Lujo hemorrhagic fever,Disease,Skin rash,Occasional (29-5%),Seizures,Occasional (29-5%),Lethargy,Occasional (29-5%),Coma,Occasional (29-5%),Cardiac arrest,Occasional (29-5%),Fever,Very frequent (99-80%),Diarrhea,Frequent (79-30%),Nausea and vomiting,Frequent (79-30%),Dyspnea,Occasional (29-5%),Gastrointestinal hemorrhage,Frequent (79-30%),Headache,Frequent (79-30%),Myalgia,Frequent (79-30%)
306498,PTEN hamartoma tumor syndrome,Clinical group,Macrocephaly,Very frequent (99-80%),Abnormality of the vasculature,Very frequent (99-80%),Ganglioneuroma,Very frequent (99-80%),Plantar pits,Very frequent (99-80%),Lipoma,Very frequent (99-80%),Papilloma,Very frequent (99-80%),Multiple trichilemmomata,Very frequent (99-80%),Autistic behavior,Frequent (79-30%),Hemangioma,Frequent (79-30%),Freckling,Frequent (79-30%),Neoplasm,Frequent (79-30%),Thyroid carcinoma,Frequent (79-30%)
281090,Syndromic recessive X-linked ichthyosis,Disease,Cryptorchidism,Occasional (29-5%),Renal insufficiency,Occasional (29-5%),Unilateral renal agenesis,Occasional (29-5%),Hypogonadism,Occasional (29-5%),Autism,Occasional (29-5%),Hyperkeratosis,Very frequent (99-80%),Hypohidrosis,Very frequent (99-80%),Intellectual disability,Frequent (79-30%),Seizures,Occasional (29-5%),Global developmental delay,Frequent (79-30%),Lissencephaly,Occasional (29-5%),Dysphasia,Frequent (79-30%)
284160,8q21.11 microdeletion syndrome,Malformation syndrome,Cryptorchidism,Occasional (29-5%),Narrow mouth,Occasional (29-5%),Abnormality of the dentition,Occasional (29-5%),High palate,Occasional (29-5%),Epicanthus,Occasional (29-5%),Full cheeks,Very frequent (99-80%),Hypertelorism,Occasional (29-5%),Short philtrum,Very frequent (99-80%),Micrognathia,Frequent (79-30%),High forehead,Frequent (79-30%),Hearing impairment,Very frequent (99-80%),Low-set ears,Very frequent (99-80%)
276413,10q22.3q23.3 microdeletion syndrome,Malformation syndrome,Microcephaly,Occasional (29-5%),Macrocephaly,Very frequent (99-80%),Epicanthus,Occasional (29-5%),Microretrognathia,Occasional (29-5%),Hypertelorism,Frequent (79-30%),Low-set ears,Frequent (79-30%),Anteverted nares,Occasional (29-5%),Downslanted palpebral fissures,Occasional (29-5%),Upslanted palpebral fissure,Occasional (29-5%),Hypotelorism,Occasional (29-5%),Autism,Occasional (29-5%),Arachnodactyly,Occasional (29-5%)
275543,L1 syndrome,Malformation syndrome,Hydrocephalus,Very frequent (99-80%),Depressivity,Very frequent (99-80%),Adducted thumb,Frequent (79-30%),Intellectual disability,Very frequent (99-80%),Seizures,Occasional (29-5%),Spasticity,Very frequent (99-80%),Global developmental delay,Very frequent (99-80%),Gait disturbance,Very frequent (99-80%),Hyperreflexia,Very frequent (99-80%),Nausea and vomiting,Very frequent (99-80%),Aganglionic megacolon,Occasional (29-5%),Headache,Very frequent (99-80%)
268249,Mycophenolate mofetil embryopathy,Malformation syndrome,Ectopic kidney,Occasional (29-5%),Oral cleft,Frequent (79-30%),Hydrocephalus,Occasional (29-5%),Hypertelorism,Frequent (79-30%),Micrognathia,Frequent (79-30%),Hearing impairment,Frequent (79-30%),Atresia of the external auditory canal,Very frequent (99-80%),Chorioretinal coloboma,Frequent (79-30%),Microphthalmia,Frequent (79-30%),Visual loss,Frequent (79-30%),Iris coloboma,Frequent (79-30%),Cleft eyelid,Occasional (29-5%)
264200,14q22q23 microdeletion syndrome,Malformation syndrome,Cryptorchidism,Very frequent (99-80%),Scrotal hypoplasia,Very frequent (99-80%),Renal hypoplasia,Occasional (29-5%),Brachycephaly,Frequent (79-30%),Malar flattening,Frequent (79-30%),Epicanthus,Very frequent (99-80%),Hypertelorism,Very frequent (99-80%),Micrognathia,Frequent (79-30%),High forehead,Very frequent (99-80%),Posteriorly rotated ears,Very frequent (99-80%),Hearing impairment,Occasional (29-5%),Cupped ear,Very frequent (99-80%)
276630,Symptomatic form of Coffin-Lowry syndrome in female carriers,Malformation syndrome,Everted lower lip vermilion,Occasional (29-5%),Hypertelorism,Occasional (29-5%),Wide nose,Occasional (29-5%),Downslanted palpebral fissures,Occasional (29-5%),Anodontia,Occasional (29-5%),Oligodontia,Occasional (29-5%),Psychosis,Occasional (29-5%),Depressivity,Occasional (29-5%),Pectus excavatum,Occasional (29-5%),Pectus carinatum,Occasional (29-5%),Large hands,Very frequent (99-80%),Tapered finger,Very frequent (99-80%)
276422,10q22.3q23.3 microduplication syndrome,Malformation syndrome,Hypospadias,Frequent (79-30%),Ambiguous genitalia,Frequent (79-30%),Abnormality of the dentition,Frequent (79-30%),Microcephaly,Frequent (79-30%),Abnormality of the philtrum,Frequent (79-30%),Full cheeks,Frequent (79-30%),Microretrognathia,Frequent (79-30%),Broad forehead,Frequent (79-30%),Low-set ears,Occasional (29-5%),Chronic otitis media,Occasional (29-5%),Strabismus,Frequent (79-30%),Deeply set eye,Very frequent (99-80%)
99329,"48,XYYY syndrome",Malformation syndrome,Male hypogonadism,Very frequent (99-80%),Azoospermia,Very frequent (99-80%),Tall stature,Very frequent (99-80%),Thick lower lip vermilion,Very frequent (99-80%),High palate,Very frequent (99-80%),Epicanthus,Very frequent (99-80%),Hypertelorism,Very frequent (99-80%),Long philtrum,Very frequent (99-80%),Short neck,Very frequent (99-80%),Behavioral abnormality,Very frequent (99-80%),Aggressive behavior,Very frequent (99-80%),Low frustration tolerance,Very frequent (99-80%)
261534,"49,XXXYY syndrome",Malformation syndrome,Male hypogonadism,Very frequent (99-80%),Micropenis,Very frequent (99-80%),Ambiguous genitalia,Very frequent (99-80%),Epicanthus,Very frequent (99-80%),Mandibular prognathia,Very frequent (99-80%),Hypertelorism,Very frequent (99-80%),Micrognathia,Very frequent (99-80%),"Low-set, posteriorly rotated ears",Very frequent (99-80%),Wide nasal bridge,Very frequent (99-80%),Behavioral abnormality,Very frequent (99-80%),Autistic behavior,Very frequent (99-80%),Low frustration tolerance,Very frequent (99-80%)
99330,"49,XYYYY syndrome",Malformation syndrome,Male hypogonadism,Very frequent (99-80%),Azoospermia,Very frequent (99-80%),Abnormality of the genitourinary system,Very frequent (99-80%),Trigonocephaly,Occasional (29-5%),Turricephaly,Occasional (29-5%),Coarse facial features,Very frequent (99-80%),Hypertelorism,Very frequent (99-80%),Micrognathia,Very frequent (99-80%),"Low-set, posteriorly rotated ears",Very frequent (99-80%),Lop ear,Occasional (29-5%),Developmental cataract,Occasional (29-5%),Behavioral abnormality,Very frequent (99-80%)
755,Leydig cell hypoplasia,Disease,Male hypogonadism,Very frequent (99-80%),Cryptorchidism,Very frequent (99-80%),Male pseudohermaphroditism,Very frequent (99-80%),Hypospadias,Very frequent (99-80%),Micropenis,Very frequent (99-80%),Ambiguous genitalia,Very frequent (99-80%),Phenotypic abnormality,Very frequent (99-80%),Female hypogonadism,Very frequent (99-80%),Aplasia of the uterus,Very frequent (99-80%),Primary amenorrhea,Very frequent (99-80%),Abnormal external genitalia,Very frequent (99-80%),Abnormal internal genitalia,Very frequent (99-80%)
91387,Familial thoracic aortic aneurysm and aortic dissection,Disease,Inguinal hernia,Occasional (29-5%),Tall stature,Occasional (29-5%),Retrognathia,Occasional (29-5%),Hypertelorism,Occasional (29-5%),Abnormality iris morphology,Frequent (79-30%),Abnormality of the sternum,Occasional (29-5%),Hypertension,Frequent (79-30%),Cutis marmorata,Very frequent (99-80%),Bruising susceptibility,Occasional (29-5%),Arachnodactyly,Occasional (29-5%),Stroke,Occasional (29-5%),Cardiomegaly,Frequent (79-30%)
91349,Non-functioning pituitary adenoma,Disease,Male hypogonadism,Frequent (79-30%),Hypogonadotrophic hypogonadism,Frequent (79-30%),Macroorchidism,Occasional (29-5%),Female hypogonadism,Frequent (79-30%),Hypogonadism,Frequent (79-30%),Abnormality of the menstrual cycle,Frequent (79-30%),Ptosis,Occasional (29-5%),Progressive visual loss,Frequent (79-30%),Blindness,Occasional (29-5%),Diplopia,Occasional (29-5%),Impotence,Frequent (79-30%),Growth hormone deficiency,Frequent (79-30%)
261529,Ring chromosome Y syndrome,Malformation syndrome,Male hypogonadism,Very frequent (99-80%),Azoospermia,Very frequent (99-80%),Cryptorchidism,Very frequent (99-80%),"Ambiguous genitalia, male",Frequent (79-30%),Hypospadias,Frequent (79-30%),Bifid scrotum,Occasional (29-5%),Perineal hypospadias,Occasional (29-5%),"Ambiguous genitalia, female",Frequent (79-30%),Gonadal dysgenesis,Frequent (79-30%),Gonadoblastoma,Occasional (29-5%),Gynecomastia,Occasional (29-5%),Short stature,Frequent (79-30%)
411590,Wolfram-like syndrome,Disease,Male hypogonadism,Frequent (79-30%),Glaucoma,Frequent (79-30%),Optic atrophy,Very frequent (99-80%),Psychosis,Very frequent (99-80%),Depressivity,Very frequent (99-80%),Dementia,Very frequent (99-80%),Autistic behavior,Very frequent (99-80%),Anxiety,Very frequent (99-80%),Hypothyroidism,Occasional (29-5%),Delayed puberty,Frequent (79-30%),Glucose intolerance,Frequent (79-30%),Central diabetes insipidus,Frequent (79-30%)
247768,M�llerian aplasia and hyperandrogenism,Malformation syndrome,Hypoplasia of the uterus,Very frequent (99-80%),Renal agenesis,Occasional (29-5%),Abnormality of the ovary,Occasional (29-5%),Abnormality of the vagina,Very frequent (99-80%),Cleft palate,Occasional (29-5%),Short philtrum,Occasional (29-5%),Protruding ear,Occasional (29-5%),Short neck,Occasional (29-5%),Thick eyebrow,Occasional (29-5%),Synophrys,Occasional (29-5%),Primary amenorrhea,Very frequent (99-80%),Shield chest,Occasional (29-5%)
168563,"46,XY gonadal dysgenesis-motor and sensory neuropathy syndrome",Malformation syndrome,Hypoplasia of the uterus,Very frequent (99-80%),Male hypogonadism,Very frequent (99-80%),Abnormality of female external genitalia,Very frequent (99-80%),Gonadal dysgenesis,Very frequent (99-80%),Abnormality of the vagina,Very frequent (99-80%),Gonadoblastoma,Occasional (29-5%),Primary amenorrhea,Very frequent (99-80%),Infertility,Very frequent (99-80%),Increased circulating gonadotropin level,Very frequent (99-80%),Polyneuropathy,Very frequent (99-80%),Reduced tendon reflexes,Very frequent (99-80%),Pes cavus,Occasional (29-5%)
49,Penile agenesis,Morphological anomaly,Abnormality of the bladder,Very frequent (99-80%),Cryptorchidism,Occasional (29-5%),"Urethral atresia, male",Occasional (29-5%),Ambiguous genitalia,Very frequent (99-80%),Hydroureter,Very frequent (99-80%),Hydronephrosis,Very frequent (99-80%),Posteriorly rotated ears,Very frequent (99-80%),Cystic renal dysplasia,Occasional (29-5%),Oligohydramnios,Very frequent (99-80%),Ventricular septal defect,Occasional (29-5%),Atrial septal defect,Occasional (29-5%),Bilateral talipes equinovarus,Occasional (29-5%)
325345,"46,XY ovotesticular disorder of sex development",Disease,Inguinal hernia,Occasional (29-5%),Epispadias,Occasional (29-5%),Chordee,Frequent (79-30%),Bifid scrotum,Very frequent (99-80%),Perineal hypospadias,Very frequent (99-80%),Micropenis,Very frequent (99-80%),Abnormality of the clitoris,Very frequent (99-80%),Abnormality of the labia,Very frequent (99-80%),Ambiguous genitalia,Very frequent (99-80%),Fused labia minora,Very frequent (99-80%),Gonadoblastoma,Frequent (79-30%),Abnormality of prenatal development or birth,Very frequent (99-80%)
90796,"46,XY disorder of sex development due to isolated 17,20-lyase deficiency",Disease,Hypoplasia of the uterus,Very frequent (99-80%),Hypospadias,Very frequent (99-80%),Micropenis,Very frequent (99-80%),Decreased fertility,Very frequent (99-80%),Polycystic ovaries,Very frequent (99-80%),Primary amenorrhea,Very frequent (99-80%),Hypergonadotropic hypogonadism,Very frequent (99-80%),Delayed puberty,Very frequent (99-80%),Osteoporosis,Very frequent (99-80%),Sparse axillary hair,Very frequent (99-80%),Sparse pubic hair,Very frequent (99-80%),Sparse body hair,Very frequent (99-80%)
90793,Congenital adrenal hyperplasia due to 17-alpha-hydroxylase deficiency,Disease,Hypoplasia of the uterus,Very frequent (99-80%),Hypospadias,Very frequent (99-80%),Micropenis,Very frequent (99-80%),Decreased fertility,Very frequent (99-80%),Polycystic ovaries,Very frequent (99-80%),Primary amenorrhea,Very frequent (99-80%),Hypergonadotropic hypogonadism,Very frequent (99-80%),Delayed puberty,Very frequent (99-80%),Osteoporosis,Very frequent (99-80%),Sparse axillary hair,Very frequent (99-80%),Sparse pubic hair,Very frequent (99-80%),Sparse body hair,Very frequent (99-80%)
1916,Diethylstilbestrol syndrome,Malformation syndrome,Hypoplasia of the uterus,Very frequent (99-80%),Cryptorchidism,Very frequent (99-80%),Abnormal testis morphology,Very frequent (99-80%),Hypospadias,Frequent (79-30%),Micropenis,Very frequent (99-80%),Abnormality of the uterus,Very frequent (99-80%),Decreased fertility in females,Very frequent (99-80%),Small for gestational age,Very frequent (99-80%),Premature birth,Very frequent (99-80%),Melanoma,Occasional (29-5%),Breast carcinoma,Very frequent (99-80%),Central apnea,Occasional (29-5%)
681,Hypokalemic periodic paralysis,Disease,Periodic hypokalemic paresis,Obligate (100%),Episodic hypokalemia,Obligate (100%),EMG abnormality,Very frequent (99-80%),Paralysis,Very frequent (99-80%),Episodic flaccid weakness,Very frequent (99-80%),Abnormality of muscle fibers,Very frequent (99-80%),Mildly elevated creatine kinase,Very frequent (99-80%),Increased intramyocellular lipid droplets,Very frequent (99-80%),Exercise-induced muscle fatigue,Frequent (79-30%),Postprandial hyperglycemia,Frequent (79-30%),Late-onset proximal muscle weakness,Occasional (29-5%),Respiratory paralysis,Very rare (&lt;4-1%)
759,Central precocious puberty,Disease,Isosexual precocious puberty,Obligate (100%),Increased circulating gonadotropin level,Frequent (79-30%),Overgrowth,Frequent (79-30%),Accelerated bone age after puberty,Frequent (79-30%),Proportionate short stature,Frequent (79-30%),Increased body weight,Frequent (79-30%),Abnormality of secondary sexual hair,Frequent (79-30%),Premature thelarche,Frequent (79-30%),Acne,Occasional (29-5%),Obesity,Occasional (29-5%),Hypothalamic hamartoma,Occasional (29-5%),Prenatal maternal abnormality,Occasional (29-5%)
391487,Autoimmune enteropathy and endocrinopathy-susceptibility to chronic infections syndrome,Disease,Functional abnormality of the bladder,Very frequent (99-80%),Growth delay,Very frequent (99-80%),Abnormal intestine morphology,Very frequent (99-80%),Chronic mucocutaneous candidiasis,Very frequent (99-80%),Delayed skeletal maturation,Very frequent (99-80%),Recurrent upper respiratory tract infections,Very frequent (99-80%),Short stature,Very frequent (99-80%),Abnormality of the endocrine system,Frequent (79-30%),Delayed puberty,Frequent (79-30%),Primary hypothyroidism,Frequent (79-30%),Osteopenia,Frequent (79-30%),Eczema,Frequent (79-30%)
